535,-0.05316,0.21083,0.0032
536,-0.04913,0.2119,0.00281
537,-0.04496,0.21281,0.00244
538,-0.04063,0.21357,0.00209
539,-0.03615,0.21419,0.00177
540,-0.03152,0.21466,0.00146
541,-0.02673,0.21498,0.00118
542,-0.0218,0.21516,0.00091
543,-0.01672,0.2152,0.00067
544,-0.0115,0.2151,0.00044
545,-0.00613,0.21487,0.00023
546,-0.00063,0.2145,0.00004
547,0.00502,0.214,-0.00014
548,0.0108,0.21338,-0.0003
549,0.01673,0.21264,-0.00045
550,0.02279,0.21178,-0.00058
551,0.029,0.21083,-0.0007
552,0.03534,0.20977,-0.0008
553,0.04181,0.20859,-0.0009
554,0.04841,0.20729,-0.00098
555,0.05514,0.20588,-0.00105
556,0.06201,0.20434,-0.00112
557,0.06899,0.20269,-0.00117
558,0.07609,0.20092,-0.00122
559,0.0833,0.19903,-0.00127
560,0.0906,0.19702,-0.0013
561,0.098,0.19488,-0.00133
562,0.10549,0.19263,-0.00135
563,0.11305,0.19027,-0.00136
564,0.12069,0.1878,-0.00137
565,0.1284,0.18522,-0.00138
566,0.13618,0.18254,-0.00138
567,0.14401,0.17977,-0.00138
568,0.15187,0.1769,-0.00137
569,0.15977,0.17393,-0.00136
570,0.16768,0.17087,-0.00135
571,0.17561,0.16771,-0.00133
572,0.18353,0.16447,-0.00131
573,0.19144,0.16115,-0.00128
574,0.19932,0.15775,-0.00126
575,0.20715,0.15429,-0.00123
576,0.21495,0.15076,-0.0012
577,0.22268,0.14718,-0.00117
578,0.23031,0.14353,-0.00114
579,0.23785,0.13984,-0.00111
580,0.24526,0.1361,-0.00108
581,0.25252,0.1323,-0.00105
582,0.25963,0.12848,-0.00102
583,0.26657,0.12462,-0.00099
584,0.27333,0.12075,-0.00096
585,0.27989,0.11686,-0.00093
586,0.28624,0.11297,-0.0009
587,0.29236,0.10909,-0.00087
588,0.29825,0.10522,-0.00085
589,0.3039,0.10136,-0.00082
590,0.30928,0.09754,-0.00079
591,0.31444,0.09375,-0.00076
592,0.31931,0.09,-0.00073
593,0.32385,0.0863,-0.00069
594,0.32803,0.08266,-0.00066
595,0.33184,0.07909,-0.00063
596,0.33511,0.07561,-0.0006
597,0.33798,0.07221,-0.00057
598,0.34046,0.06889,-0.00054
599,0.34256,0.06564,-0.00052
600,0.34429,0.06246,-0.00049
601,0.34574,0.05935,-0.00047
602,0.34681,0.05632,-0.00044
603,0.34748,0.05337,-0.00042
604,0.34773,0.05052,-0.0004
605,0.34756,0.04776,-0.00038
606,0.34682,0.04512,-0.00036
607,0.34565,0.04259,-0.00035
608,0.34406,0.04015,-0.00033
609,0.34208,0.03781,-0.00032
610,0.33971,0.03557,-0.0003
611,0.33701,0.03343,-0.00028
612,0.33395,0.03139,-0.00027
613,0.33053,0.02945,-0.00025
614,0.32677,0.02759,-0.00024
615,0.32265,0.02583,-0.00022
616,0.3182,0.02416,-0.0002
617,0.31342,0.02257,-0.00019
618,0.3083,0.02106,-0.00018
619,0.30285,0.01963,-0.00016
620,0.29708,0.01828,-0.00015
621,0.29084,0.01699,-0.00014
622,0.28433,0.01578,-0.00013
623,0.27757,0.01463,-0.00012
624,0.27061,0.01355,-0.00012
625,0.26348,0.01253,-0.00011
626,0.25621,0.01158,-0.0001
627,0.24887,0.01068,-0.0001
628,0.24148,0.00984,-0.00009
629,0.2341,0.00906,-0.00009
630,0.22677,0.00833,-0.00008
631,0.21972,0.00765,-0.00007
632,0.21275,0.00701,-0.00007
633,0.20586,0.00643,-0.00006
634,0.19906,0.00588,-0.00006
635,0.19233,0.00537,-0.00005
636,0.18565,0.0049,-0.00005
637,0.17904,0.00446,-0.00004
638,0.17251,0.00406,-0.00004
639,0.16606,0.00368,-0.00003
640,0.15968,0.00334,-0.00003
641,0.15335,0.00302,-0.00003
642,0.14712,0.00273,-0.00003
643,0.14098,0.00246,-0.00002
644,0.13496,0.00221,-0.00002
645,0.12905,0.00199,-0.00002
646,0.12328,0.00179,-0.00002
647,0.11765,0.00161,-0.00002
648,0.11217,0.00144,-0.00001
